ID;Titulo;Edad Minima;Edad Maxima;Instrumento;Objetivo;Duracion;Instrucciones
ACT 28;La Sombra Musical;4;8;Ninguno;Mejorar coordinación, atención e imitación de movimientos.;10 minutos;Los niños trabajan en parejas. Uno realiza movimientos al ritmo de la música y el otro debe imitarlo como si fuera su sombra. Después intercambian roles.
ACT 29;El Mensaje Rítmico;6;10;Percusión corporal;Desarrollar memoria, secuenciación y comunicación mediante ritmos.;15 minutos;El docente asigna sonidos a diferentes palabras o mensajes. Los niños deben transmitir una frase utilizando únicamente los ritmos asociados a sus palabras.
ACT 30;Construye tu Instrumento;5;10;Material reciclado;Estimular creatividad y comprender cómo diferentes materiales producen sonidos.;30 minutos;Utilizar materiales seguros como vasos, cajas, tubos o recipientes. Los niños construyen un instrumento sencillo y experimentan con diferentes formas de producir sonidos.
ACT 31;La Caja Misteriosa;4;8;Objetos sonoros;Desarrollar discriminación auditiva y curiosidad musical.;15 minutos;Colocar diferentes objetos sonoros dentro de una caja o detrás de una pantalla. Producir un sonido sin mostrar el objeto y pedir a los niños que descubran qué lo produjo.
ACT 32;El Ritmo de la Naturaleza;4;9;Instrumentos de percusión;Relacionar sonidos musicales con fenómenos naturales y estimular creatividad.;15 minutos;Los niños representan lluvia, viento, truenos, hojas y animales mediante instrumentos o sonidos corporales. Crear juntos una composición que represente un paisaje natural.
ACT 33;El Director de Intensidad;6;10;Instrumentos de percusión;Comprender y controlar cambios de intensidad durante una interpretación.;15 minutos;Un niño dirige al grupo utilizando gestos para indicar tocar muy suave, suave, fuerte y muy fuerte. El grupo debe reaccionar inmediatamente a cada señal.
ACT 34;Memoria Musical;5;10;Instrumentos de percusión;Desarrollar memoria visual, auditiva y capacidad de reproducir secuencias.;15 minutos;El docente coloca tres o cuatro instrumentos en un orden determinado y toca una secuencia. Los niños deben recordar el orden y reproducirlo correctamente.
ACT 35;El Camino del Ritmo;4;8;Ninguno;Combinar movimiento corporal y percepción rítmica.;15 minutos;Crear un camino imaginario donde cada tramo tenga un movimiento diferente: caminar, saltar, palmear o girar. Los niños deben avanzar siguiendo el ritmo indicado.
ACT 36;La Canción Congelada;4;8;Ninguno;Desarrollar atención auditiva y control de movimientos.;10 minutos;Los niños bailan mientras escuchan una canción. En determinados momentos el docente pausa la música y todos deben congelarse exactamente en la posición en la que estaban.
ACT 37;Crea un Final;6;10;Instrumentos de percusión;Estimular creatividad, composición e improvisación musical.;15 minutos;El docente interpreta o reproduce una pequeña secuencia musical y se detiene antes del final. Los niños deben inventar diferentes finales utilizando voz, cuerpo o instrumentos.
ACT 38;La Orquesta del Clima;4;9;Instrumentos de percusión;Explorar timbre, intensidad y creación musical colectiva.;15 minutos;Asignar instrumentos diferentes a lluvia, viento, truenos y sol. El docente narra cambios del clima y los niños modifican sus sonidos según la historia.
ACT 39;Palmas Viajeras;3;7;Percusión corporal;Desarrollar coordinación y sentido del pulso en grupo.;10 minutos;Los niños forman un círculo y realizan una palmada siguiendo el pulso. La palmada debe viajar de un niño al siguiente sin perder el ritmo.
ACT 40;El Robot Musical;4;8;Ninguno;Trabajar ritmo, coordinación y control corporal mediante el juego simbólico.;10 minutos;Los niños imaginan que son robots musicales. Cada tipo de sonido o ritmo activa un movimiento diferente. El docente cambia las señales y los robots deben reaccionar.
ACT 41;La Batuta Mágica;4;9;Ninguno;Desarrollar expresión corporal, atención y seguimiento de señales musicales.;10 minutos;El docente utiliza una batuta o elemento similar para indicar diferentes acciones: caminar, saltar, girar, detenerse o moverse lentamente. Los niños deben seguir las señales.
ACT 42;El Corazón del Ritmo;5;9;Percusión corporal;Comprender el pulso mediante una representación corporal sencilla.;10 minutos;Los niños colocan una mano sobre el pecho e imaginan que el ritmo musical es un corazón. Marcan un pulso constante con las palmas o los pies mientras escuchan música.
ACT 43;La Serpiente Musical;3;7;Ninguno;Trabajar coordinación grupal, desplazamiento y cambios de velocidad.;10 minutos;Los niños forman una serpiente tomándose suavemente de los hombros. Se desplazan siguiendo la música y cambian de velocidad cuando cambia el tempo.
ACT 44;Adivina la Emoción;5;10;Ninguno;Desarrollar reconocimiento de emociones mediante elementos musicales.;15 minutos;Reproducir fragmentos musicales con diferentes características. Los niños deben elegir una emoción y explicar qué elementos de la música les hicieron pensar en ella.
ACT 45;La Orquesta de las Letras;5;9;Percusión corporal;Relacionar lenguaje y ritmo mediante palabras y sílabas.;15 minutos;Seleccionar palabras conocidas por los niños. Cada palabra debe convertirse en un patrón de palmadas según sus sílabas. Después crear una secuencia utilizando varias palabras.
ACT 46;El Maestro Silencioso;6;10;Ninguno;Desarrollar comunicación no verbal y atención visual.;15 minutos;Un niño dirige al grupo únicamente con gestos, sin hablar. Debe indicar cuándo comenzar, detenerse, aumentar o disminuir la intensidad de los movimientos.
ACT 47;Viaje Musical por el Espacio;4;9;Instrumentos de percusión;Estimular imaginación, exploración sonora y creación de ambientes musicales.;15 minutos;Los niños imaginan que viajan por diferentes planetas. Cada planeta tiene una forma distinta de moverse y producir sonidos. El grupo crea una pequeña banda sonora para el viaje.
ACT 48;El Código de las Palmas;6;10;Percusión corporal;Desarrollar reconocimiento de patrones y pensamiento secuencial.;15 minutos;Crear códigos donde una palmada represente una señal y dos palmadas otra. El docente presenta secuencias y los niños deben descifrarlas y reproducirlas correctamente.
ACT 49;La Ola Musical;4;8;Ninguno;Trabajar coordinación, atención y sincronización grupal.;10 minutos;Los niños forman un círculo. Un movimiento comienza en un participante y debe recorrer todo el círculo como una ola. Después incorporar sonidos o palmadas.
ACT 50;El Museo de los Sonidos;4;9;Instrumentos variados;Explorar timbres y desarrollar vocabulario para describir sonidos.;20 minutos;Presentar diferentes instrumentos y permitir que los niños exploren brevemente cada uno. Después deben elegir palabras para describir sus sonidos y clasificarlos como brillantes, oscuros, suaves, fuertes, largos o cortos.
ACT 51;El Ritmo del Nombre;3;7;Percusión corporal;Desarrollar conciencia silábica y coordinación rítmica.;10 minutos;Cada niño dice su nombre mientras marca una palmada por cada sílaba. El grupo repite el patrón y posteriormente combina varios nombres para crear una secuencia rítmica.
ACT 52;La Ruleta Musical;4;9;Instrumentos variados;Combinar diferentes habilidades musicales mediante retos breves y divertidos.;15 minutos;Crear una ruleta con acciones como cantar, palmear, tocar, bailar, imitar o hacer silencio. Cada niño gira la ruleta y realiza la acción que corresponda durante unos segundos.
ACT 53;El Detective del Tempo;6;10;Ninguno;Reconocer diferencias de velocidad en fragmentos musicales.;15 minutos;Reproducir fragmentos con tempos diferentes. Los niños deben identificar cuál es rápido, moderado o lento y demostrarlo caminando según la velocidad percibida.
ACT 54;La Pesca de Notas;5;9;Piano o teclado;Reconocer alturas de sonidos y relacionarlas con representaciones visuales.;15 minutos;"Preparar tarjetas con diferentes notas o símbolos. El docente toca una nota y los niños deben ""pescar"" la tarjeta que corresponde utilizando una caña de juguete o sus manos."
ACT 55;El Globo Musical;4;8;Ninguno;Trabajar coordinación, respiración y control del movimiento siguiendo música.;10 minutos;Los niños imaginan que sostienen un globo invisible. Cuando la música es suave lo mueven lentamente y cuando aumenta la intensidad imaginan que el globo crece y se eleva.
ACT 56;La Isla de los Ritmos;5;9;Percusión corporal;Practicar diferentes patrones rítmicos mediante desplazamientos imaginarios.;15 minutos;El salón se convierte en una isla dividida en zonas. Cada zona tiene un ritmo diferente que los niños deben realizar antes de avanzar hacia la siguiente.
ACT 57;El Restaurante Musical;5;9;Ninguno;Desarrollar creatividad, expresión vocal y asociación entre palabras y sonidos.;15 minutos;Los niños imaginan que trabajan en un restaurante donde cada alimento tiene un sonido especial. El docente pide diferentes platos y los niños deben representarlos vocal o corporalmente.
ACT 58;La Máquina de Voces;4;8;Ninguno;Explorar diferentes posibilidades de la voz de manera lúdica.;10 minutos;"El docente propone sonidos como ""mmm"", ""aaa"", ""uuu"", sonidos cortos y sonidos largos. Los niños imaginan que una máquina transforma cada sonido en otro diferente."
ACT 59;El Ascensor Musical;4;8;Ninguno;Comprender cambios de altura mediante movimientos corporales.;10 minutos;"Los niños imaginan que están dentro de un ascensor. Cuando el sonido sube, levantan progresivamente los brazos; cuando baja, los descienden. Después pueden acompañarlo con la voz."
ACT 60;El Mercado de Sonidos;5;9;Ninguno;Relacionar palabras cotidianas con patrones rítmicos.;15 minutos;El docente menciona diferentes productos de un mercado. Los niños convierten cada palabra en un pequeño ritmo utilizando palmadas, golpes en las piernas o pisadas.
ACT 61;La Foto Musical;4;9;Ninguno;Estimular expresión corporal y comprensión de características musicales.;10 minutos;"Reproducir diferentes fragmentos musicales. Cuando la música se detiene, los niños deben formar una ""foto"" corporal que represente cómo era la música que acababan de escuchar."
ACT 62;El Semáforo de la Voz;4;8;Ninguno;Controlar intensidad y duración de la voz.;10 minutos;Utilizar tarjetas de tres colores: una indica voz suave, otra voz normal y otra silencio. Los niños deben cantar o hablar siguiendo rápidamente las señales del docente.
ACT 63;La Carrera de Notas;6;10;Piano o teclado;Reconocer notas musicales básicas y mejorar la asociación visual-auditiva.;15 minutos;Colocar tarjetas con nombres de notas en diferentes puntos del salón. El docente toca una nota y los niños deben desplazarse hacia la tarjeta correspondiente.
ACT 64;El Teléfono Rítmico;6;10;Percusión corporal;Desarrollar memoria auditiva y precisión en la transmisión de patrones.;15 minutos;El docente susurra o realiza un pequeño ritmo al primer niño. El patrón pasa de niño en niño hasta llegar al último, quien lo reproduce para compararlo con el original.
ACT 65;El Árbol Musical;4;8;Ninguno;Explorar diferentes formas de movimiento asociadas con cambios musicales.;10 minutos;Los niños imaginan que son árboles. Con música suave mueven sus ramas lentamente y con música rápida las mueven con mayor energía. También deben reaccionar ante pausas musicales.
ACT 66;La Maleta del Músico;5;9;Instrumentos variados;Reconocer instrumentos y comprender sus características básicas.;15 minutos;Preparar una maleta con imágenes o pequeños instrumentos. Cada niño extrae uno y debe explicar cómo cree que se toca, qué sonido produce y en qué tipo de música podría utilizarse.
ACT 67;El Oráculo Musical;6;10;Ninguno;Estimular imaginación y expresión musical improvisada.;15 minutos;"Un niño recibe una tarjeta con una situación como ""un día de lluvia"", ""un viaje"", ""un monstruo"" o ""una fiesta"". Debe representarla mediante sonidos y movimientos para que los demás la adivinen."
ACT 68;La Escalera Corporal;4;8;Percusión corporal;Relacionar secuencias ascendentes con movimientos progresivos.;10 minutos;Asignar diferentes alturas corporales a sonidos: agachado para sonidos graves y de pie o con brazos arriba para sonidos agudos. El docente crea secuencias y los niños las representan.
ACT 69;La Película Musical;5;10;Instrumentos variados;Crear acompañamientos sonoros para desarrollar imaginación y composición.;20 minutos;El docente narra una escena como una película sin sonido. Los niños deben decidir qué sonidos, instrumentos o movimientos pueden utilizar para crear la banda sonora.
ACT 70;El Mapa del Sonido;5;10;Ninguno;Desarrollar orientación auditiva y percepción espacial.;15 minutos;Un niño permanece con los ojos cerrados mientras otro produce un sonido desde diferentes lugares del salón. Debe señalar de dónde provino el sonido.
ACT 71;La Fiesta de los Ritmos;4;9;Percusión corporal;Combinar distintos patrones rítmicos en una actividad grupal.;15 minutos;Dividir a los niños en grupos y asignar a cada uno un patrón sencillo. Cada grupo practica y después todos ejecutan sus patrones al mismo tiempo.
ACT 72;El Semáforo de las Notas;5;9;Piano o teclado;Reconocer sonidos agudos, medios y graves.;10 minutos;Utilizar tres señales para representar sonidos graves, medios y agudos. El docente toca diferentes notas y los niños levantan la señal correspondiente.
ACT 73;La Carrera de Estatuas;4;8;Ninguno;Combinar desplazamiento, escucha y control corporal.;10 minutos;Los niños caminan mientras suena música. Cuando el docente toca una señal deben detenerse y adoptar una pose relacionada con la música que estaba sonando.
ACT 74;El Sonido Perdido;5;9;Instrumentos variados;Desarrollar memoria auditiva y reconocimiento de secuencias sonoras.;15 minutos;El docente interpreta una pequeña secuencia con varios sonidos. Después repite la secuencia cambiando uno de ellos. Los niños deben descubrir qué sonido fue modificado.
ACT 75;El Concurso de Preguntas Musicales;6;10;Ninguno;Reforzar conocimientos musicales mediante preguntas dinámicas.;15 minutos;Preparar preguntas sencillas sobre instrumentos, ritmo, sonidos, canciones y conceptos musicales. Los niños responden individualmente o por equipos mediante tarjetas o gestos.
ACT 76;El Detective de las Canciones;5;10;Ninguno;Desarrollar reconocimiento auditivo y memoria musical.;15 minutos;Reproducir unos segundos de canciones conocidas por los niños. Deben intentar reconocerlas y explicar qué parte de la canción identificaron.
ACT 77;La Banda de los Objetos;4;9;Objetos cotidianos;Descubrir posibilidades musicales en objetos comunes.;15 minutos;Entregar objetos seguros como vasos, cajas, botellas vacías o cucharas. Los niños exploran diferentes formas de producir sonidos y después crean un ritmo grupal.
ACT 78;El Caminante Musical;4;8;Ninguno;Relacionar diferentes tipos de música con formas de desplazamiento.;10 minutos;El docente cambia entre música lenta, rápida, alegre, misteriosa y tranquila. Los niños deben modificar su manera de caminar según lo que escuchan.
ACT 79;La Tienda de Instrumentos;5;9;Instrumentos variados;Reconocer instrumentos y desarrollar comunicación mediante juego simbólico.;20 minutos;Convertir el salón en una tienda de instrumentos. Los niños representan compradores y vendedores mientras describen los instrumentos por su forma, sonido y manera de tocar.
ACT 80;La Clave Secreta Musical;6;10;Percusión corporal;Desarrollar pensamiento secuencial y asociación entre símbolos y sonidos.;15 minutos;Crear una clave donde determinados símbolos representen palmadas, pisadas, golpes suaves o silencios. Mostrar secuencias visuales que los niños deben interpretar.
ACT 81;El Pintor de Ritmos;5;9;Percusión corporal;Representar visualmente patrones rítmicos sencillos.;15 minutos;Entregar hojas y lápices. Los niños inventan símbolos para representar diferentes sonidos y luego utilizan sus dibujos para interpretar un pequeño ritmo.
ACT 82;El Caminito de las Notas;5;9;Piano o teclado;Relacionar secuencias de notas con desplazamiento y memoria.;15 minutos;Colocar tarjetas de notas formando un camino en el suelo. El docente toca una pequeña secuencia y el niño debe recorrer las tarjetas en el orden correcto.
ACT 83;La Radio Musical;6;10;Ninguno;Estimular expresión oral y comprensión de conceptos musicales.;20 minutos;Los niños imaginan que tienen un programa de radio. Uno presenta una canción, otro describe un instrumento y otro puede inventar una noticia musical para compartir con el grupo.
ACT 84;El Monstruo del Ritmo;4;8;Percusión corporal;Practicar patrones rítmicos mediante juego simbólico y repetición.;10 minutos;El docente representa un monstruo que solo puede caminar siguiendo determinados ritmos. Los niños deben reproducir el patrón para ayudar al monstruo a avanzar.
ACT 85;La Estatua de las Emociones;4;8;Ninguno;Relacionar música, emociones y expresión corporal estática.;10 minutos;Reproducir diferentes fragmentos musicales. Al detenerse la música, los niños deben quedarse inmóviles representando con el cuerpo la emoción que les produjo.
ACT 86;El Viaje de una Nota;6;10;Piano o teclado;Explorar duración, altura y movimiento asociado a sonidos musicales.;15 minutos;El docente toca una nota y los niños imaginan que es un personaje viajando. Según si la nota es grave, aguda, corta o larga, deben cambiar el movimiento del personaje.
ACT 87;El Código de los Pies;4;8;Percusión corporal;Desarrollar coordinación y precisión rítmica utilizando los pies.;10 minutos;Crear códigos sencillos con pisadas: una pisada significa avanzar, dos pisadas significan girar y una pausa significa detenerse. Los niños siguen las secuencias propuestas.
ACT 88;La Cocina Musical;4;8;Ninguno;Estimular imaginación y creación de secuencias sonoras.;15 minutos;Los niños imaginan que preparan una receta musical. Cada ingrediente corresponde a un sonido diferente. Deben combinar varios ingredientes para crear su propia receta sonora.
ACT 89;El Reloj Musical;5;9;Percusión corporal;Comprender regularidad y repetición mediante patrones cíclicos.;10 minutos;Los niños imaginan que son las piezas de un reloj. Cada grupo realiza un sonido repetitivo diferente mientras el docente coordina la entrada de cada sección.
ACT 90;El Fotógrafo Musical;5;10;Ninguno;Desarrollar observación, memoria y expresión corporal relacionada con música.;15 minutos;Un niño observa durante unos segundos una pose grupal creada por sus compañeros mientras suena música. Después se da la vuelta y el grupo cambia una posición. Debe descubrir qué cambió.
ACT 91;La Escultura Sonora;5;10;Ninguno;Desarrollar creatividad y representación corporal de conceptos musicales.;15 minutos;En pequeños grupos, los niños crean una escultura corporal que represente un concepto como ritmo, silencio, velocidad, fuerza o calma. Los demás deben adivinar qué representan.
ACT 92;El Viaje del Sonido;5;9;Instrumentos variados;Comprender cómo un sonido puede transformarse y combinarse con otros.;15 minutos;Un niño produce un sonido. El siguiente debe transformarlo ligeramente y pasarlo al siguiente. Al final se compara el sonido original con el resultado final.
ACT 93;La Biblioteca Musical;5;10;Ninguno;Desarrollar memoria, imaginación y asociación entre historias y música.;20 minutos;Seleccionar diferentes libros o cuentos infantiles. Los niños eligen una escena y proponen qué tipo de música, ritmo o sonidos podrían acompañarla.
ACT 94;El Mensajero Musical;5;9;Percusión corporal;Desarrollar memoria y comunicación mediante patrones de movimiento.;15 minutos;El docente crea una secuencia de movimientos como palmada, giro, pisada y salto. Un niño debe memorizarla y enseñarla a otro sin que el docente intervenga.
ACT 95;La Carrera de Preguntas Musicales;6;10;Ninguno;Reforzar conocimientos musicales mediante movimiento y toma de decisiones.;15 minutos;Colocar dos posibles respuestas en extremos opuestos del salón. El docente formula una pregunta musical y los niños se desplazan hacia la respuesta que consideran correcta.
ACT 96;El Zoológico de las Voces;3;7;Ninguno;Explorar registros, timbres y posibilidades expresivas de la voz.;10 minutos;Asignar diferentes animales a formas de utilizar la voz. Los niños experimentan con sonidos graves, agudos, largos, cortos, suaves y fuertes sin forzar la voz.
ACT 97;La Orquesta de las Estaciones;4;9;Instrumentos variados;Crear una composición colectiva inspirada en diferentes estaciones del año.;20 minutos;Asignar sonidos a primavera, verano, otoño e invierno. Los niños producen los sonidos correspondientes mientras el docente guía un viaje por las cuatro estaciones.
ACT 98;El Ritmo de las Profesiones;4;9;Percusión corporal;Relacionar movimiento, lenguaje y ritmo mediante situaciones cotidianas.;15 minutos;El docente menciona profesiones como médico, cocinero, bombero o constructor. Los niños inventan un movimiento y un pequeño ritmo que represente cada profesión.
ACT 99;El Mimo Musical;5;10;Ninguno;Desarrollar expresión corporal y comprensión de características musicales.;15 minutos;Un niño recibe una tarjeta con una característica musical como rápido, lento, fuerte, suave, agudo o grave. Debe representarla sin hablar para que los demás la adivinen.
ACT 100;La Fábrica de Sonidos;4;9;Objetos cotidianos;Explorar timbres y crear combinaciones sonoras originales.;20 minutos;Convertir el salón en una fábrica imaginaria. Cada grupo crea sonidos para diferentes máquinas utilizando objetos seguros. Después coordinan todos los sonidos como una gran fábrica.
ACT 101;La Aventura del Capitán Musical;4;9;Ninguno;Combinar escucha, movimiento, imaginación y respuesta a instrucciones.;15 minutos;El docente narra una aventura en la que los niños son tripulantes. Cada situación tiene una acción musical: remar siguiendo un pulso, esconderse en silencio, caminar lentamente o celebrar con movimientos.
ACT 102;El Rompecabezas Musical;6;10;Instrumentos de percusión;Desarrollar secuenciación, memoria y construcción de patrones.;15 minutos;Crear tarjetas con pequeños patrones rítmicos. Los niños deben ordenar las tarjetas para formar una secuencia coherente y después interpretarla con percusión corporal o instrumentos.
ACT 103;El Mensajero Musical;5;9;Percusión corporal;Desarrollar memoria y comunicación mediante patrones de movimiento.;15 minutos;El docente crea una secuencia de movimientos como palmada, giro, pisada y salto. Un niño debe memorizarla y enseñarla a otro sin que el docente intervenga.
ACT 104;La Carrera de Preguntas Musicales;6;10;Ninguno;Reforzar conocimientos musicales mediante movimiento y toma de decisiones.;15 minutos;Colocar dos posibles respuestas en extremos opuestos del salón. El docente formula una pregunta musical y los niños se desplazan hacia la respuesta que consideran correcta.
ACT 105;El Zoológico de las Voces;3;7;Ninguno;Explorar registros, timbres y posibilidades expresivas de la voz.;10 minutos;Asignar diferentes animales a formas de utilizar la voz. Los niños experimentan con sonidos graves, agudos, largos, cortos, suaves y fuertes sin forzar la voz.
ACT 106;La Orquesta de las Estaciones;4;9;Instrumentos variados;Crear una composición colectiva inspirada en diferentes estaciones del año.;20 minutos;Asignar sonidos a primavera, verano, otoño e invierno. Los niños producen los sonidos correspondientes mientras el docente guía un viaje por las cuatro estaciones.
ACT 107;El Ritmo de las Profesiones;4;9;Percusión corporal;Relacionar movimiento, lenguaje y ritmo mediante situaciones cotidianas.;15 minutos;El docente menciona profesiones como médico, cocinero, bombero o constructor. Los niños inventan un movimiento y un pequeño ritmo que represente cada profesión.
ACT 108;El Mimo Musical;5;10;Ninguno;Desarrollar expresión corporal y comprensión de características musicales.;15 minutos;Un niño recibe una tarjeta con una característica musical como rápido, lento, fuerte, suave, agudo o grave. Debe representarla sin hablar para que los demás la adivinen.
ACT 109;La Fábrica de Sonidos;4;9;Objetos cotidianos;Explorar timbres y crear combinaciones sonoras originales.;20 minutos;Convertir el salón en una fábrica imaginaria. Cada grupo crea sonidos para diferentes máquinas utilizando objetos seguros. Después coordinan todos los sonidos como una gran fábrica.
ACT 110;La Aventura del Capitán Musical;4;9;Ninguno;Combinar escucha, movimiento, imaginación y respuesta a instrucciones.;15 minutos;El docente narra una aventura en la que los niños son tripulantes. Cada situación tiene una acción musical: remar siguiendo un pulso, esconderse en silencio, caminar lentamente o celebrar con movimientos.
